country,year,pollutantName,value,Population,GDP_USD,gdp_per_capita
Sweden,2018,SOx,49.3897647179,10175214.0,551312498430.1636,54181.90697809045
Sweden,2019,NOx,241.515970262,10278887.0,532169294165.9397,51773.04645589933
Sweden,2019,SOx,56.3217541428,10278887.0,532169294165.9397,51773.04645589933
Sweden,2020,NOx,242.408970973,10353442.0,545147614972.1406,52653.75659342474
Sweden,2020,SOx,32.0376356902,10353442.0,545147614972.1406,52653.75659342474
Sweden,2021,NOx,211.88253028776,10415811.0,637186904843.6361,61174.96802156223
Sweden,2021,SOx,27.4923011821,10415811.0,637186904843.6361,61174.96802156223
Sweden,2022,NOx,202.40965228713998,10486941.0,579895717343.956,55296.93714725353
Sweden,2022,SOx,25.9659723001,10486941.0,579895717343.956,55296.93714725353
Sweden,2023,NOx,170.27971424228,10536632.0,585489968189.0636,55567.0890080496
Sweden,2023,SOx,22.7217458662,10536632.0,585489968189.0636,55567.0890080496
